Select your role;Enter your age;What motivated you to participate?;Briefly comment about your experience;What improvements should we apply to the program?;Would you participate again?;Why would you participate again or not?
Volunteer;47;It was a personal challenge;I learned a lot from the participants;More resources for activities;No;It was good but could be improved
Volunteer;48;I believe in the cause;I would love to participate again;Better organization;No;I think more planning is needed
Volunteer;17;I wanted to help the community;I felt very welcomed;Improved scheduling;Yes;It was an amazing experience!
Volunteer;27;It was a personal challenge;I learned a lot from the participants;Better division of tasks;No;I learned a lot from the participants
Volunteer;28;I had free time and wanted to contribute;It was an amazing experience!;Better division of tasks;No;It was an amazing experience!
Volunteer;50;I wanted to help the community;I enjoyed working with the team;Shorter events;Yes;There should be better communication
Volunteer;36;I wanted to meet new people;I would love to participate again;Better organization;Yes;I think more planning is needed
Volunteer;33;I am passionate about volunteering;It was chaotic at times;Better division of tasks;No;It was an amazing experience!
Volunteer;55;I was invited by a friend;There should be better communication;More feedback from participants;No;There should be better communication
Volunteer;33;I believe in the cause;I would love to participate again;Better organization;Yes;I felt very welcomed
Volunteer;27;It was a personal challenge;It was good but could be improved;Clearer communication;No;It was good but could be improved
Volunteer;43;I am passionate about volunteering;I would love to participate again;Improved scheduling;Yes;I enjoyed working with the team
Volunteer;48;It was a work requirement;The event was too long;Improved scheduling;Yes;It was chaotic at times
Volunteer;28;I wanted to meet new people;The organization was excellent;More advertising to attract participants;Yes;The event was too long
Volunteer;41;I believe in the cause;I learned a lot from the participants;Clearer communication;Yes;It was an amazing experience!
Volunteer;16;I had free time and wanted to contribute;I felt very welcomed;Better organization;No;There should be better communication
Volunteer;23;I wanted to meet new people;It was good but could be improved;Clearer communication;No;I learned a lot from the participants
Volunteer;40;I am passionate about volunteering;It was good but could be improved;Clearer communication;No;It was chaotic at times
Volunteer;36;I wanted to meet new people;I felt very welcomed;More feedback from participants;No;I felt very welcomed
Volunteer;44;I wanted to gain experience;I would love to participate again;Clearer communication;Yes;I felt very welcomed
Volunteer;49;I wanted to gain experience;The organization was excellent;More training for volunteers;No;I would love to participate again
Volunteer;45;I wanted to help the community;There should be better communication;More advertising to attract participants;No;The event was too long
Volunteer;48;It was a personal challenge;The organization was excellent;Clearer communication;Yes;I wish there were clearer instructions
Volunteer;42;I am passionate about volunteering;I learned a lot from the participants;More feedback from participants;Yes;I learned a lot from the participants
Volunteer;36;I was invited by a friend;The event was too long;More training for volunteers;Yes;I learned a lot from the participants
Volunteer;42;I was invited by a friend;The event was too long;More feedback from participants;Yes;It was good but could be improved
Volunteer;33;I was invited by a friend;It was an amazing experience!;Better organization;Yes;It was chaotic at times
Volunteer;17;I wanted to meet new people;It was an amazing experience!;More resources for activities;No;I learned a lot from the participants
Volunteer;56;It was a work requirement;The organization was excellent;More training for volunteers;No;I think more planning is needed
Volunteer;22;It was a work requirement;There should be better communication;More advertising to attract participants;No;I enjoyed working with the team
